"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2003",64016,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2004",65452,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2005",65517,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2006",66191,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2007",67815,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2008",67791,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2009",67236,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2010",66612,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2011",66612,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2012",67039,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2013",67551,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2014",67026.550518915,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2015",67544.075461366,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2016",66544.317598197,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","1998",61100,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","1999",62500,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2000",63400,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2001",64700,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2002",66000,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2003",67260,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2004",68545,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2005",69450,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2006",69995,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2007",71325,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2008",70940,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2009",71870,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2010",72285,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2011",73030,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2012",72810,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2013",72655,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2014",73060,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2015",73835,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2016",65262,"B"
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2017",74800,"B"
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2018",74800,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2019",74700,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2020",70900,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2021",69600,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","1998",729859,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","1999",746485,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2000",747054,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2001",770918,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2002",777226,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2003",779163,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2004",777323,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2005",767290,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2006",765879,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2007",771178,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2008",756610,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2009",757177,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2010",763941,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2011",764529,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2012",821372,"B"
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2013",827658,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2014",839737,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2015",851217,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2016",865017,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2017",873037,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2018",871780,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2019",867852,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2020",718056,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2021",769146,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","1998",895600,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","1999",916400,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2000",900300,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2001",921300,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2002",930500,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2003",925200,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2004",951493,"B"
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2005",939389,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2006",945052,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2007",947807,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2008",950882,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2009",959694,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2010",962892,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2011",972357,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2012",972319,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2013",980246,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2014",995190,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2015",1008771,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2016",1027755,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2017",977430,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2018",978702,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2019",981452,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2020",854931,"P"
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","1998",37978,
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","1999",39993,
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","2000",40458,"E"
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","2001",41083,"E"
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","2002",41811,"E"
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","2003",42029,"E"
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","2004",42596,"E"
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","2005",42484,"E"
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","2006",42309,"E"
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","2007",42577,"E"
"GRC","PASSTRANSP","ROAD","MLN_PKM","A","2008",42182,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","1998",64419,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","1999",64294,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2000",64622,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2001",64506,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2002",64702,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2003",66122,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2004",67529,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2005",66638,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2006",69630,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2007",70447,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2008",70984,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2009",70477,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2010",68845,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2011",68510,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2012",68661,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2013",68788,
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2014",70162.677,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2015",72220.7766,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2016",74976.9021,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2017",78745.268,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2018",82606.9168,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2019",85756.2439,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2020",77150.225,"E"
"HUN","PASSTRANSP","ROAD","MLN_PKM","A","2021",80447.475,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","1998",3854,
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","1999",4115,
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2000",4250,
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2001",4458,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2002",4583,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2003",4711,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2004",4855,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2005",5145,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2006",5455,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2007",5730,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2008",5587,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2009",5647,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2010",5596,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2011",5392,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2012",5454,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2013",5611,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2014",5899,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2015",6296,"E"
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2016",7301,
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2017",7984,
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2018",8235,
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2019",8167,
"ISL","PASSTRANSP","ROAD","MLN_PKM","A","2020",6316,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","1998",753054,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","1999",755274,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2000",807481,"B"
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2001",813276,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2002",808678,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2003",809307,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2004",815820,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2005",777968,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2006",779304,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2007",779713,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2008",778797,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2009",821618,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2010",800609,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2011",767772,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2012",680180,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2013",722138,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2014",745726,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2015",778858,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2016",806855,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2017",847598,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2018",825494,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2019",836722,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2020",546933,
"ITA","PASSTRANSP","ROAD","MLN_PKM","A","2021",598582,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","1998",954808,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","1999",955563,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2000",951251,"B"
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2001",954293,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2002",955412,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2003",954186,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2004",947563,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2005",933005,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2006",917938,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2007",919062,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2008",905907,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2009",898720,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2010",876951,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2011",867573,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2012",892157,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2013",889795,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2014",876322,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2015",879935,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2016",891479,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2017",904967,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2018",917921,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2019",909598,
"JPN","PASSTRANSP","ROAD","MLN_PKM","A","2020",769440,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2001",267525,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2002",244955,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2003",238861,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2004",190183,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2005",200779,"B"
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2006",204339,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2007",205158,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2008",306660,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2009",310787,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2010",378863,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2011",363318,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2012",355200,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2013",359928,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2014",368516,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2015",378044,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2016",373919,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2017",381854,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2018",387268,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2019",387957,
"KOR","PASSTRANSP","ROAD","MLN_PKM","A","2020",339537,
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","1998",152100,
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","1999",156400,"B"
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","2000",156553,"E"
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","2001",157083,"E"
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","2002",159627,"E"
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","2003",161700,"E"
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","2004",167449,"E"
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","2005",164834,"E"
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","2006",163630,"E"
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","2007",166605,"E"
"NLD","PASSTRANSP","ROAD","MLN_PKM","A","2008",163236,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","1998",53478,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","1999",54508,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2000",55314,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2001",56463,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2002",57612,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2003",58007,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2004",58573,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2005",58339,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2006",59196,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2007",60943,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2008",62103,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2009",62744,
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2010",62718,"B"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2011",63701,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2012",64482,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2013",65224,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2014",67273,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2015",68789,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2016",69251,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2017",70548,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2018",71131,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2019",71779,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2020",65599,"E"
"NOR","PASSTRANSP","ROAD","MLN_PKM","A","2021",68232,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","1998",175135,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","1999",176250,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2000",189373,
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2001",187737,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2002",187875,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2003",192944,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2004",197895,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2005",201465,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2006",205289,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2007",209959,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2008",220343,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2009",226661,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2010",230461,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2011",229229,
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2012",228743,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2013",231117,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2014",236190,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2015",238150,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2016",250092,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2017",257610,"E"
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2018",262156,
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2019",268491,
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2020",232234,
"POL","PASSTRANSP","ROAD","MLN_PKM","A","2021",252807,"E"
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","1998",87150,
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","1999",93080,
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","2000",94204,"E"
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","2001",95009,"E"
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","2002",95580,"E"
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","2003",96541,"E"
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","2004",97809,"E"
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","2005",97518,"E"
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","2006",97202,"E"
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","2007",97722,"E"
"PRT","PASSTRANSP","ROAD","MLN_PKM","A","2008",96756,"E"
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","1998",28142,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","1999",29374,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2000",32364,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2001",32309,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2002",33214,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2003",32981,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2004",32214,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2005",33564,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2006",33736,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2007",33731,
"SVK","PASSTRANSP","ROAD","MLN_PKM","A","2008",32962,
